"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Stocks","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527033","1.8.3.3.1.1","1493","E","","","0"
"2016","Canada","2016A000011124","Stocks","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527033","1.8.3.3.1.1","1149","E","","","0"
"1999","Canada","2016A000011124","Bonds (saving and other)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527159","1.9.3.3.1.1","244","E","","","0"
"2005","Canada","2016A000011124","Bonds (saving and other)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527159","1.9.3.3.1.1","","F","","","0"
"2012","Canada","2016A000011124","Bonds (saving and other)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527159","1.9.3.3.1.1","","F","","","0"
"2016","Canada","2016A000011124","Bonds (saving and other)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527159","1.9.3.3.1.1","","F","","","0"
"1999","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527285","1.10.3.3.1.1","","..","","","0"
"2005","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527285","1.10.3.3.1.1","","..","","","0"
"2012","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527285","1.10.3.3.1.1","2372","E","","","0"
"2016","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527285","1.10.3.3.1.1","5217","E","","","0"
"1999","Canada","2016A000011124","Other financial assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527411","1.11.3.3.1.1","2439","E","","","0"
"2005","Canada","2016A000011124","Other financial assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527411","1.11.3.3.1.1","","F","","","0"
"2012","Canada","2016A000011124","Other financial assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527411","1.11.3.3.1.1","2030","E","","","0"
"2016","Canada","2016A000011124","Other financial assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527411","1.11.3.3.1.1","1026","E","","","0"
"1999","Canada","2016A000011124","Non-financial assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527537","1.12.3.3.1.1","42108","","","","0"
"2005","Canada","2016A000011124","Non-financial assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527537","1.12.3.3.1.1","50020","","","","0"
"2012","Canada","2016A000011124","Non-financial assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527537","1.12.3.3.1.1","83128","","","","0"
"2016","Canada","2016A000011124","Non-financial assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527537","1.12.3.3.1.1","109145","","","","0"
"1999","Canada","2016A000011124","Principal residence","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527663","1.13.3.3.1.1","21604","","","","0"
"2005","Canada","2016A000011124","Principal residence","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527663","1.13.3.3.1.1","21950","E","","","0"
"2012","Canada","2016A000011124","Principal residence","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527663","1.13.3.3.1.1","55143","E","","","0"
