"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Mutual funds, investment funds  and income trusts","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526875","1.7.1.3.5.1","16600","E","","","0"
"2005","Canada","2016A000011124","Mutual funds, investment funds  and income trusts","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526875","1.7.1.3.5.1","27000","E","","","0"
"2012","Canada","2016A000011124","Mutual funds, investment funds  and income trusts","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526875","1.7.1.3.5.1","42000","E","","","0"
"2016","Canada","2016A000011124","Mutual funds, investment funds  and income trusts","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526875","1.7.1.3.5.1","46000","","","","0"
"1999","Canada","2016A000011124","Stocks","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527001","1.8.1.3.5.1","12400","E","","","0"
"2005","Canada","2016A000011124","Stocks","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527001","1.8.1.3.5.1","10900","E","","","0"
"2012","Canada","2016A000011124","Stocks","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527001","1.8.1.3.5.1","21100","E","","","0"
"2016","Canada","2016A000011124","Stocks","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527001","1.8.1.3.5.1","15000","E","","","0"
"1999","Canada","2016A000011124","Bonds (saving and other)","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527127","1.9.1.3.5.1","4600","","","","0"
"2005","Canada","2016A000011124","Bonds (saving and other)","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527127","1.9.1.3.5.1","3900","E","","","0"
