,Montréal,Ottawa-Gatineau,Toronto,Calgary,Edmonton,Vancouver,Quarter
Mortgage,1124,1272,1784,1515,1445,1900,2020-06-30
HELOC,645,424,515,492,435,553,2020-06-30
Line Of Credit,179,201,236,255,240,192,2020-06-30
Auto Loan,461,482,522,529,533,579,2020-06-30
Credit Card,93,67,59,66,69,54,2020-06-30
All Other Credit,388,411,415,394,414,462,2020-06-30
