date,close
2019-01-01,14504.099609375
2019-01-08,14975.5
2019-01-15,15354.2001953125
2019-01-22,15378.599609375
2019-01-29,15602.2998046875
2019-02-05,15568.900390625
2019-02-12,15838.2001953125
2019-02-19,16057.0
2019-02-26,16038.099609375
2019-03-05,16106.2001953125
2019-03-12,16251.400390625
2019-03-19,16065.900390625
2019-03-26,16228.099609375
2019-04-02,16407.30078125
2019-04-09,16515.5
2019-04-16,16577.30078125
2019-04-23,16600.400390625
2019-04-30,16493.5
2019-05-07,16193.400390625
2019-05-14,16401.80078125
2019-05-21,16346.7001953125
2019-05-28,16015.900390625
2019-06-04,16216.2998046875
2019-06-11,16353.5
2019-06-18,16523.5
2019-06-25,16382.2001953125
2019-07-02,16463.0
2019-07-09,16510.80078125
2019-07-16,16518.900390625
2019-07-23,16492.19921875
2019-07-30,16271.7001953125
2019-08-06,16237.7998046875
2019-08-13,16304.099609375
2019-08-20,16098.7998046875
2019-08-27,16442.099609375
2019-09-03,16495.099609375
2019-09-10,16751.30078125
2019-09-17,16867.19921875
2019-09-24,16658.599609375
2019-10-01,16421.80078125
2019-10-08,16415.19921875
2019-10-15,16418.5
2019-10-22,16387.5
2019-10-29,16669.80078125
2019-11-05,16882.80078125
2019-11-12,17025.099609375
2019-11-19,17032.900390625
2019-11-26,16981.5
2019-12-03,16950.900390625
2019-12-10,17056.400390625
2019-12-17,17128.69921875
2019-12-24,17098.599609375
2019-12-31,17105.5
2020-01-07,17293.400390625
2020-01-14,17597.400390625
2020-01-21,17442.5
2020-01-28,17379.80078125
2020-02-04,17740.599609375
2020-02-11,17848.400390625
2020-02-18,17562.69921875
2020-02-25,16553.30078125
2020-03-03,14514.2001953125
2020-03-10,12360.400390625
2020-03-17,11228.5
2020-03-24,13038.5
2020-03-31,13592.7001953125
2020-04-07,14075.900390625
2020-04-14,14388.2998046875
2020-04-21,14642.099609375
2020-04-28,14745.0
2020-05-05,15103.2001953125
2020-05-12,14638.900390625
2020-05-19,15075.400390625
2020-05-26,15236.2001953125
2020-06-02,15974.900390625
2020-06-09,15359.7001953125
2020-06-16,15516.900390625
2020-06-23,15389.7001953125
2020-06-30,15669.7001953125
2020-07-07,15639.400390625
2020-07-14,16183.7001953125
2020-07-21,16161.2998046875
2020-07-28,16169.2001953125
2020-08-04,16605.5
2020-08-11,16656.099609375
2020-08-18,16626.599609375
2020-08-25,16514.400390625
2020-09-01,16218.0
2020-09-08,16360.099609375
2020-09-15,15981.7998046875
2020-09-22,16242.7998046875
2020-09-29,16410.19921875
2020-10-06,16562.80078125
2020-10-13,16274.099609375
2020-10-20,16079.599609375
2020-10-27,15696.900390625
2020-11-03,16475.900390625
2020-11-10,16889.80078125
2020-11-17,17094.5
2020-11-24,17190.30078125
2020-12-01,17582.400390625
2020-12-08,17387.400390625
