,Montréal,Ottawa-Gatineau,Toronto,Calgary,Edmonton,Vancouver,Quarter
Mortgage,1137,1278,1828,1547,1481,1946,2020-03-31
HELOC,710,483,617,600,535,684,2020-03-31
Line Of Credit,185,208,238,254,240,193,2020-03-31
Auto Loan,462,482,522,533,542,580,2020-03-31
Credit Card,103,72,63,72,75,58,2020-03-31
All Other Credit,378,407,415,404,428,459,2020-03-31
