,open,high,low,close,adjclose,volume,ticker
2019-07-23,16582.5,16623.900390625,16458.400390625,16492.19921875,16492.19921875,882149400,^GSPTSE
2019-07-30,16433.5,16505.900390625,16206.400390625,16271.7001953125,16271.7001953125,1231508800,^GSPTSE
2019-08-06,16111.0,16423.19921875,15994.2998046875,16237.7998046875,16237.7998046875,1232767400,^GSPTSE
2019-08-13,16235.2998046875,16375.0,15964.400390625,16304.099609375,16304.099609375,665330700,^GSPTSE
2019-08-20,16281.400390625,16335.099609375,16003.099609375,16098.7998046875,16098.7998046875,885466500,^GSPTSE
2019-08-27,16138.5,16456.5,16125.2001953125,16442.099609375,16442.099609375,774776500,^GSPTSE
2019-09-03,16382.5,16604.400390625,16328.400390625,16495.099609375,16495.099609375,1063407200,^GSPTSE
2019-09-10,16467.30078125,16767.19921875,16459.400390625,16751.30078125,16751.30078125,1254609700,^GSPTSE
2019-09-17,16738.30078125,16947.19921875,16727.19921875,16867.19921875,16867.19921875,1358225700,^GSPTSE
2019-09-24,16877.400390625,16917.599609375,16656.400390625,16658.599609375,16658.599609375,1006588400,^GSPTSE
2019-10-01,16683.599609375,16707.5,16198.099609375,16421.80078125,16421.80078125,1020597200,^GSPTSE
2019-10-08,16366.5,16516.69921875,16274.7001953125,16415.19921875,16415.19921875,753582700,^GSPTSE
2019-10-15,16433.69921875,16510.69921875,16376.599609375,16418.5,16418.5,868222100,^GSPTSE
2019-10-22,16470.30078125,16484.80078125,16309.2001953125,16387.5,16387.5,856738900,^GSPTSE
2019-10-29,16330.900390625,16681.599609375,16315.599609375,16669.80078125,16669.80078125,1006354600,^GSPTSE
2019-11-05,16663.900390625,16895.099609375,16660.30078125,16882.80078125,16882.80078125,1049749600,^GSPTSE
2019-11-12,16898.099609375,17036.0,16880.69921875,17025.099609375,17025.099609375,977418300,^GSPTSE
2019-11-19,17033.900390625,17048.5,16935.69921875,17032.900390625,17032.900390625,1117872000,^GSPTSE
2019-11-26,17016.900390625,17120.900390625,16930.400390625,16981.5,16981.5,922073800,^GSPTSE
2019-12-03,16900.30078125,17023.30078125,16817.0,16950.900390625,16950.900390625,1032014500,^GSPTSE
2019-12-10,16947.099609375,17095.5,16906.599609375,17056.400390625,17056.400390625,1123046500,^GSPTSE
2019-12-17,17065.69921875,17166.400390625,17004.5,17128.69921875,17128.69921875,1291793300,^GSPTSE
2019-12-24,17132.80078125,17230.599609375,17066.599609375,17098.599609375,17098.599609375,356076600,^GSPTSE
2019-12-31,17052.400390625,17164.599609375,17027.400390625,17105.5,17105.5,692156000,^GSPTSE
2020-01-07,17119.599609375,17301.80078125,17110.30078125,17293.400390625,17293.400390625,1102018000,^GSPTSE
2020-01-14,17288.599609375,17620.19921875,17281.30078125,17597.400390625,17597.400390625,1041055800,^GSPTSE
2020-01-21,17551.5,17666.5,17360.0,17442.5,17442.5,1183270200,^GSPTSE
